Leche de Cabra con Vit. D,Lácteos,69,3.6,4.5,4.1,4.5,0.0,50.0,ml,100,0
Queso Gouda (INTA),Lácteos,341,24.8,4.8,24.7,0.0,0.0,259.0,g,100,0
Yogurt Natural,Lácteos,61,3.5,4.7,3.3,4.7,0.0,46.0,ml,100,0
Huevo entero (INTA),Huevos,149,12.4,0.3,10.9,0.1,0.0,153.0,g,100,0
Pollo cocido (USDA),Carnes y Vísceras,176,27.3,0.0,6.7,0.0,0.0,70.0,g,100,0
Filete vacuno,Carnes y Vísceras,124,21.2,1.1,3.9,0.0,0.0,180.0,g,100,0
Proteína de soja (carne vegetal),Carnes y Vísceras,350,50.0,28.0,2.0,15.0,3.0,15.0,g,100,0
Jamón pavo acaramelado,Carnes y Vísceras,83,17.9,0.4,1.1,0.0,0.0,943.0,g,100,0
Vienesa de pollo,Carnes y Vísceras,226,15.3,3.5,16.7,1.0,0.0,713.0,g,100,0
Chorito en agua,Pescados y Mariscos,72,10.0,4.0,1.8,0.0,0.0,137.0,g,100,0
Camaron congelado,Pescados y Mariscos,110,23.7,0.0,1.7,0.0,0.0,240.0,g,100,0
Atún conserva en agua (Etiqueta),Pescados y Mariscos,120,28.0,0.0,1.4,0.0,0.0,500.0,g,100,0
Salmón coho fresco,Pescados y Mariscos,290,19.1,0.3,23.6,0.2,0.0,66.0,g,100,0
Almendras (INTA),Semillas y Nueces,578,24.0,7.3,50.3,0.0,10.9,49.0,g,100,0
Maní,Semillas y Nueces,567,25.8,7.6,49.2,4.7,8.5,18.0,g,100,0
Nueces (INTA),Semillas y Nueces,551,17.5,3.1,52.1,3.1,22.4,18.0,g,100,0
Chía,Semillas y Nueces,486,16.5,7.7,30.7,0.0,34.4,16.0,g,100,0
Pan hallulla,Cereales y Derivados,363,9.1,53.6,12.5,0.0,0.0,564.0,g,100,0
Pan integral,Cereales y Derivados,252,12.5,36.7,3.5,4.3,6.0,455.0,g,100,0
Pan marraqueta,Cereales y Derivados,272,10.8,49.7,2.4,4.6,2.2,602.0,g,100,0
Pan molde (INTA),Cereales y Derivados,244,8.1,49.9,1.4,0.0,3.3,466.0,g,100,0
Pan blanco sin sal,Cereales y Derivados,267,8.2,47.3,3.6,4.3,2.3,298.0,g,100,0
Arroz blanco (INTA),Cereales y Derivados,370,6.8,78.9,0.6,0.0,2.8,7.0,g,100,0
Arroz integral cocido (INTA),Cereales y Derivados,367,7.5,72.7,3.2,0.7,3.6,5.0,g,100,0
Choclo cocido,Cereales y Derivados,96,3.4,18.6,1.5,4.5,2.4,1.0,g,100,0
Quinoa cocida,Cereales y Derivados,120,4.4,18.5,1.9,0.9,2.8,7.0,g,100,0
Fideos cocidos,Cereales y Derivados,149,6.0,26.2,1.7,0.8,3.9,4.0,g,100,0
Papa cocida,Papas,89,2.3,17.8,0.2,1.4,1.8,12.0,g,100,0
Aceite de maravilla (INTA 1),Grasas y Aceites,898,0.0,0.2,99.8,0.0,0.0,0.0,ml,100,0
Aceite de oliva,Grasas y Aceites,884,0.0,0.0,100.0,0.0,0.0,2.0,ml,100,0
